,grid_idx,center,pop2020,pop2021,pop2022,od2020,od2021,od2022
29139,25240,POINT (954285.230213883 1954015.54807064),34942.52545252738,34050.350187157055,33008.71108542767,4856482.7766469605,2749850.472351654,3418163.1417343197
29140,25241,POINT (954285.230213883 1954115.54807064),33278.997618837144,32413.230826146624,31418.43503152774,4476635.3538907105,2536783.2647748957,3153784.8420125768
29141,25242,POINT (954285.230213883 1954215.54807064),33305.48064088069,32433.490225641573,31475.787133060407,4040139.556004491,2287643.3423972772,2845566.65631821
29142,25243,POINT (954285.230213883 1954315.54807064),32320.312499325704,31460.533383676826,30528.692413927485,3641369.1407597642,2057363.2490693887,2565925.6826549144
29143,25244,POINT (954285.230213883 1954415.54807064),31512.680360008733,30674.159096792384,29767.897249832156,3148909.634408775,1797481.6918810667,2247053.7240684917
29144,25245,POINT (954285.230213883 1954515.54807064),31590.847520883475,30749.005287972905,29841.8094824932,2896273.1054602843,1654372.7627518575,2068384.9095857323
29145,25246,POINT (954285.230213883 1954615.54807064),30226.082676404087,29422.761244138124,28544.547365202667,2662422.6744278464,1521844.4402708234,1902842.543679962
29146,25247,POINT (954285.230213883 1954715.54807064),30721.85843789532,29935.346968288224,29058.34151352436,2399937.4362405464,1364008.2064125927,1709554.9733216905
29147,25248,POINT (954285.230213883 1954815.54807064),29186.952870836725,28452.800220353703,27632.305755248588,2013076.2622237108,1131715.1324037155,1429425.031996142
29148,25249,POINT (954285.230213883 1954915.54807064),28319.06910495498,27613.063629797365,26826.20440018496,1744257.5964276986,971116.6885292483,1230126.897918437
29149,25250,POINT (954285.230213883 1955015.54807064),26943.555352709194,26272.095055829253,25536.052205109638,1367805.461680036,756320.2094492359,970049.3993011258
29150,25251,POINT (954285.230213883 1955115.54807064),25906.68387675125,25262.799813996662,24566.827797893813,1256927.3346498716,695802.5407420923,892200.8483374136
29154,25252,POINT (954285.230213883 1956115.54807064),20423.369248349747,19999.905550966338,19467.096954310065,252217.00919258437,144824.52532711532,187512.87377061843
29155,25253,POINT (954285.230213883 1956215.54807064),20172.044380755815,19757.18143028985,19237.789464746827,168843.33493825182,100211.42973888387,127182.45611693035
29156,25254,POINT (954285.230213883 1956315.54807064),19880.988133442366,19474.86646640687,18969.124878839393,48395.28780800308,33949.0567045814,38935.902608731965
29157,25255,POINT (954285.230213883 1956415.54807064),19545.391827447755,19148.259747467848,18656.493682664764,45262.32198082861,31751.29656433335,36415.30901690755
29158,25256,POINT (954285.230213883 1956515.54807064),19162.148836652952,18774.34502697846,18296.949247154465,42253.19755676707,29640.41056012381,33994.35067944227
29159,25257,POINT (954285.230213883 1956615.54807064),18526.053194958484,18150.808725671333,17699.202106097473,0.0,0.0,0.0
29160,25258,POINT (954285.230213883 1956715.54807064),18065.680533971397,17700.348216405084,17262.95355261029,0.0,0.0,0.0
29161,25259,POINT (954285.230213883 1956815.54807064),15896.91878098177,15607.109033150235,15242.848403035245,0.0,0.0,0.0
29162,25260,POINT (954285.230213883 1956915.54807064),15488.329994996391,15203.948870313312,14849.952452265794,0.0,0.0,0.0
29163,25261,POINT (954285.230213883 1957015.54807064),15032.519873549369,14754.423189483052,14411.480202804207,0.0,0.0,0.0
29164,25262,POINT (954285.230213883 1957115.54807064),13523.893523216178,13268.297647829595,12963.016734159251,0.0,0.0,0.0
29165,25263,POINT (954285.230213883 1957215.54807064),11870.059299106842,11639.068739193419,11376.685806988984,0.0,0.0,0.0
29166,25264,POINT (954285.230213883 1957315.54807064),11457.323424115508,11232.500655495805,10979.081203101257,0.0,0.0,0.0
29167,25265,POINT (954285.230213883 1957415.54807064),11019.38749399386,10801.362082056066,10557.40855935939,0.0,0.0,0.0
29168,25266,POINT (954285.230213883 1957515.54807064),10061.126873705058,9862.657223475166,9652.486582890902,0.0,0.0,0.0
29169,25267,POINT (954285.230213883 1957615.54807064),9632.528307486622,9440.822033874254,9238.823154337595,0.0,0.0,0.0
29170,25268,POINT (954285.230213883 1957715.54807064),9193.210062135331,9008.683828012654,8815.180351147395,0.0,0.0,0.0
29171,25269,POINT (954285.230213883 1957815.54807064),7577.297837148919,7404.452292488828,7243.751098956196,0.0,0.0,0.0
29172,25270,POINT (954285.230213883 1957915.54807064),7191.989489374749,7026.661308770823,6873.544815618214,0.0,0.0,0.0
29173,25271,POINT (954285.230213883 1958015.54807064),6808.130666202067,6650.473020005795,6505.003254125432,0.0,0.0,0.0
29174,25272,POINT (954285.230213883 1958115.54807064),6428.651173999966,6278.741642805665,6140.912509604317,0.0,0.0,0.0
29175,25273,POINT (954285.230213883 1958215.54807064),6056.047614586845,5913.895097943062,5783.64040307478,0.0,0.0,0.0
29180,25274,POINT (954385.230213883 1952415.54807064),38883.45741658824,38352.27704596833,37468.22617783111,13863248.521747457,7843135.668449256,9558209.231599007
29181,25275,POINT (954385.230213883 1952515.54807064),38470.67897865311,37941.85263833502,37049.553292230055,13342845.58057074,7538871.8333229525,9206791.091536252
29182,25276,POINT (954385.230213883 1952615.54807064),38477.451432365095,37936.993444588436,37038.42297738094,12803388.957188232,7236044.065593759,8853157.643045483
29183,25277,POINT (954385.230213883 1952715.54807064),37083.99700079809,36555.45628435187,35679.808894367256,12233355.885557184,6910093.846929548,8472783.77661774
29184,25278,POINT (954385.230213883 1952815.54807064),35500.46237825314,35003.13285313159,34162.00648529116,11659740.791230643,6579700.620346422,8086301.941537373
29185,25279,POINT (954385.230213883 1952915.54807064),35714.999044002856,35196.44489215084,34333.27376501294,11120308.447568724,6273592.981497644,7726612.726776392
29186,25280,POINT (954385.230213883 1953015.54807064),34963.50545214436,34439.66482085933,33595.63991326502,10580841.145223528,5967261.40175305,7364831.463954548
29187,25281,POINT (954385.230213883 1953115.54807064),35168.182226012555,34620.96234740795,33745.221182538175,10034445.247858498,5659991.105064246,6997479.515316871
29188,25282,POINT (954385.230213883 1953215.54807064),34493.62034846426,33949.326532823565,33075.9193527532,9437203.724961186,5323966.856180305,6590262.351522904
